date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2015-03-23,20026.76322418136,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100026.76322418136,0.0020660505314953337,1.0002676322418136
2015-03-24,19944.899244332493,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,99944.8992443325,-0.0008184207627051077,0.999448992443325
2015-03-25,19423.803526448362,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,99423.80352644836,-0.005213830038591882,0.9942380352644836
2015-03-26,19559.19395465995,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,99559.19395465995,0.0013617506412895164,0.9955919395465994
2015-03-27,19403.337531486148,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,99403.33753148615,-0.0015654648956355821,0.9940333753148615
2015-03-30,19894.521410579346,157.43073047858942,20000.0,0.0,20000.0,328.0839895013123,20000.0,0.0,20000.0,0.0,99894.52141057934,0.00494132180358231,0.9989452141057933
2015-03-31,19589.105793450883,157.43073047858942,20000.0,0.0,19875.328083989498,328.0839895013123,20000.0,0.0,20000.0,0.0,99464.43387744039,-0.004305416624113323,0.9946443387744037
2015-04-01,19560.768261964735,157.43073047858942,20000.0,0.0,19668.635170603673,328.0839895013123,20000.0,0.0,20000.0,0.0,99229.40343256842,-0.002362959660149211,0.992294034325684
2015-04-02,19729.219143576825,157.43073047858942,20000.0,0.0,19855.64304461942,328.0839895013123,20000.0,0.0,20000.0,0.0,99584.86218819625,0.0035821918033538402,0.9958486218819623
2015-04-06,20048.803526448362,157.43073047858942,20000.0,0.0,19839.238845144355,328.0839895013123,20000.0,0.0,20000.0,0.0,99888.04237159272,0.003044440457461439,0.998880423715927
2015-04-07,19837.846347607054,157.43073047858942,20000.0,0.0,19963.910761154853,328.0839895013123,20000.0,0.0,20000.0,0.0,99801.7571087619,-0.0008638197404032821,0.9980175710876188
2015-04-08,19773.299748110832,157.43073047858942,20000.0,0.0,20029.527559055117,328.0839895013123,20000.0,0.0,20000.0,0.0,99802.82730716595,1.0723242105603603e-05,0.9980282730716592
2015-04-09,19924.43324937028,157.43073047858942,20000.0,0.0,20167.322834645667,328.0839895013123,20000.0,0.0,20000.0,0.0,100091.75608401594,0.00289499590989295,1.0009175608401593
2015-04-10,20009.445843828715,157.43073047858942,20000.0,0.0,20242.78215223097,328.0839895013123,20000.0,0.0,20000.0,0.0,100252.22799605968,0.0016032480428163076,1.0025222799605966
2015-04-13,19970.088161209067,157.43073047858942,20000.0,0.0,20364.173228346455,328.0839895013123,20000.0,0.0,20000.0,0.0,100334.26138955553,0.0008182700288623668,1.0033426138955552
2015-04-14,19883.501259445842,157.43073047858942,20000.0,0.0,20682.414698162727,328.0839895013123,20000.0,0.0,20000.0,0.0,100565.91595760857,0.002308828159442111,1.0056591595760855
2015-04-15,19959.068010075567,157.43073047858942,20000.0,0.0,21066.272965879263,328.0839895013123,20000.0,0.0,20000.0,0.0,101025.34097595484,0.004568396896418969,1.0102534097595481
2015-04-16,19863.035264483628,157.43073047858942,20000.0,0.0,20935.03937007874,328.0839895013123,20000.0,0.0,20000.0,0.0,100798.07463456236,-0.002249597370293177,1.0079807463456234
2015-04-17,19639.48362720403,157.43073047858942,20000.0,0.0,20616.797900262467,328.0839895013123,20000.0,0.0,20000.0,0.0,100256.28152746649,-0.0053750342857252775,1.0025628152746646
2015-04-20,20088.16120906801,157.43073047858942,20000.0,0.0,20748.03149606299,328.0839895013123,20000.0,0.0,20000.0,0.0,100836.192705131,0.005784287715734138,1.0083619270513098
2015-04-21,19979.53400503778,157.43073047858942,20000.0,0.0,20442.91338582677,328.0839895013123,20000.0,0.0,20000.0,0.0,100422.44739086456,-0.004103142960547257,1.0042244739086454
2015-04-22,20248.74055415617,157.43073047858942,20000.0,0.0,20649.606299212595,328.0839895013123,20000.0,0.0,20000.0,0.0,100898.34685336877,0.004738974949016317,1.0089834685336876
2015-04-23,20414.042821158688,157.43073047858942,20000.0,0.0,20603.674540682412,328.0839895013123,20000.0,0.0,20000.0,0.0,101017.71736184109,0.0011830769501683935,1.0101771736184109
2015-04-24,20510.07556675063,157.43073047858942,20000.0,0.0,20538.05774278215,328.0839895013123,20000.0,0.0,20000.0,0.0,101048.13330953279,0.0003010951790045624,1.0104813330953277
2015-04-27,20883.184823677584,157.43073047858942,20000.0,0.0,20452.75590551181,328.0839895013123,20000.0,0.0,20000.0,0.0,101335.9407291894,0.0028482210430844646,1.0133594072918939
