date,permno,ticker,comnam,namedt,nameendt,prc,vol,ret
2024-09-27,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.58,177484.0,-0.003668
2024-09-26,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,567.84003,14277540.0,-0.000827
2024-09-26,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.63,231440.0,0.018685
2024-09-25,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.38,260895.0,-0.004464
2024-09-25,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,568.31,16387834.0,0.00884
2024-09-24,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,563.33002,12901030.0,-0.001913
2024-09-24,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.44,143039.0,0.018182
2024-09-23,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.2,215811.0,0.009174
2024-09-23,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,564.40997,12742763.0,0.005451
2024-09-20,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.08,89184.0,-0.003049
2024-09-20,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,561.34998,22002709.0,0.004024
2024-09-19,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,559.09998,15528352.0,0.039316
2024-09-19,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.12,185663.0,0.028213
2024-09-18,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,537.95001,10251167.0,0.003049
2024-09-18,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.76,90952.0,-0.003125
2024-09-17,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.8,117242.0,0.0
2024-09-17,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,536.315,12033492.0,0.005691
2024-09-16,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,533.28003,9446051.0,0.01746
2024-09-16,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.8,114105.0,-0.004666
