date,permno,ticker,comnam,prc,vol,ret,retx
2008-04-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.91000,40800,-0.005843,-0.005843
2008-04-25,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,46.87000,17353300,0.010565,0.010565
2008-04-24,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,46.38000,22194000,0.061570,0.061570
2008-04-24,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.98000,51900,0.002510,0.002510
2008-04-23,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,43.69000,13665000,-0.019744,-0.019744
2008-04-23,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.95000,36700,0.013571,0.013571
2008-04-22,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.79000,30800,0.000849,0.000849
2008-04-22,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,44.57000,11851700,-0.011752,-0.011752
2008-04-21,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,45.10000,12002800,-0.008791,-0.008791
2008-04-21,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.78000,65800,0.001693,-0.007574
2008-04-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.86990,36800,0.018876,0.018876
2008-04-18,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,45.50000,28908700,0.042622,0.042622
2008-04-17,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,43.64000,22095200,0.046021,0.046021
2008-04-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.65000,30100,0.018357,0.018357
2008-04-16,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,41.72000,20667400,0.051676,0.051676
2008-04-16,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.44000,77400,-0.017182,-0.017182
2008-04-15,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,39.67000,22156700,0.007364,0.007364
2008-04-15,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.64000,38600,-0.000858,-0.000858
