Date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2020-06-09 00:00:00-04:00,44199.10842680185,529.8391047343908,74270.04728039981,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24055.630199542644,192.55611629452838,181633.16835407057,0.009913665807709915,1.8163316835407048
2020-06-10 00:00:00-04:00,45336.24213466705,529.8391047343908,77024.8514047226,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24358.883458773184,192.55611629452838,185828.35944548913,0.023097053965609238,1.8582835944548903
2020-06-11 00:00:00-04:00,43159.62984811888,529.8391047343908,72888.73646159755,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23216.752380279173,192.55611629452838,178373.50113732187,-0.040116903202571,1.7837350113732178
2020-06-12 00:00:00-04:00,43532.249773315045,529.8391047343908,73463.94908886513,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23427.7102750825,192.55611629452838,179532.29158458894,0.0064964271031209275,1.7953229158458885
2020-06-15 00:00:00-04:00,44070.626324561264,529.8391047343908,73933.5127146385,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23279.382479384003,192.55611629452838,180391.90396591002,0.004788065554859111,1.8039190396590994
2020-06-16 00:00:00-04:00,45238.59913253952,529.8391047343908,75745.28083077373,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23808.41965518945,192.55611629452838,183900.68206582897,0.019450862387826673,1.839006820658289
2020-06-17 00:00:00-04:00,45175.631422163184,529.8391047343908,76007.44895618886,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23735.904072483652,192.55611629452838,184027.36689816197,0.0006888763592929337,1.840273668981619
2020-06-18 00:00:00-04:00,45193.62797134438,529.8391047343908,76821.37091501585,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23635.370070512345,192.55611629452838,184758.75140419885,0.003974324679880903,1.8475875140419877
2020-06-19 00:00:00-04:00,44935.34596025201,529.8391047343908,76363.50854312255,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23704.5919611044,192.55611629452838,184111.8289118052,-0.003501444383429253,1.8411182891180513
2020-06-22 00:00:00-04:00,46111.02753267064,529.8391047343908,78484.41865847999,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23632.0690329657,192.55611629452838,187335.8976714426,0.01751146995113384,1.873358976714425
